Date, Instance, Algorithm, MAX_ITER_COUNT, MAX_NO_IMPROVE_COUNT, RandSeed, Duration, IterCount, MoveCount, TotalDist, Medians, Assignment
2014-05-18 Sun 11:26:22, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateRecoverPerturb(Ta=62|To=12|Tc=1|D=23|P=100), 1600, 2000, 1400383527, 39.863, 1156, 3944102, 714, 16|18|20|11|47|, 20|11|16|18|18|11|16|11|11|16|16|11|16|20|20|47|16|20|18|11|20|18|16|18|16|47|18|18|18|16|18|20|47|47|11|20|18|16|20|11|20|20|11|20|16|16|18|47|16|20|
2014-05-18 Sun 11:27:16, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateTabu(Ta=62|To=12|Tc=1|D=23), 1600, 2000, 1400383582, 0.074, 3, 6813, 814, 25|19|36|17|9|, 17|19|9|36|25|36|9|19|19|9|9|19|9|17|17|17|9|17|36|19|17|25|9|36|9|25|36|36|36|9|36|17|25|25|19|17|36|9|17|36|17|17|19|17|9|9|25|25|9|17|
2014-05-18 Sun 11:28:10, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(T=62|D=23), 1600, 2000, 1400383636, 43.196, 1288, 4329915, 722, 11|44|20|18|47|, 20|11|44|18|18|11|44|11|11|44|44|11|44|20|20|47|44|20|18|11|20|18|44|18|11|47|18|18|18|44|18|20|47|47|11|20|18|44|20|11|20|44|11|20|44|44|18|47|18|20|
2014-05-18 Sun 11:29:04, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateRecoverPerturb(Ta=62|To=12|Tc=1|D=23|P=100), 1600, 2000, 1400383690, 35.531, 1053, 3541936, 714, 20|47|11|18|16|, 20|11|16|18|18|11|16|11|11|16|20|11|16|20|20|47|16|20|18|11|20|18|16|18|11|47|18|18|18|16|18|20|47|47|11|20|18|16|20|11|20|16|11|20|16|16|18|47|16|20|
2014-05-18 Sun 11:29:57, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateTabu(Ta=62|To=12|Tc=1|D=23), 1600, 2000, 1400383744, 0.214, 7, 21524, 843, 4|19|48|2|49|, 49|19|2|48|4|48|48|19|19|48|2|19|2|49|49|49|48|49|4|19|49|4|2|4|48|4|4|4|4|48|4|49|49|4|19|49|19|48|49|19|49|2|19|49|2|2|4|4|48|49|
2014-05-18 Sun 11:30:51, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(T=62|D=23), 1600, 2000, 1400383797, 0.645, 20, 62025, 741, 47|16|11|18|17|, 17|11|16|18|18|11|16|11|11|16|17|11|16|17|17|47|16|17|18|11|17|18|16|18|11|47|18|18|18|16|18|17|47|47|11|17|18|16|17|11|17|16|11|17|16|16|18|47|16|17|
2014-05-18 Sun 11:31:45, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateRecoverPerturb(Ta=62|To=12|Tc=1|D=23|P=100), 1600, 2000, 1400383851, 11.171, 337, 1131787, 737, 23|43|47|11|16|, 43|11|16|23|23|11|16|11|11|16|16|11|16|43|43|47|16|43|23|11|43|47|16|23|16|47|23|23|23|16|23|43|47|47|11|43|23|16|43|11|43|43|11|43|16|16|23|47|16|43|
2014-05-18 Sun 11:32:39, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateTabu(Ta=62|To=12|Tc=1|D=23), 1600, 2000, 1400383905, 0.301, 10, 29643, 824, 29|11|38|45|30|, 38|11|45|30|30|11|29|11|11|29|45|11|45|45|38|38|29|38|30|11|38|30|45|30|29|30|30|30|38|29|30|38|38|30|11|38|11|29|38|11|38|45|11|38|29|45|30|30|29|38|
2014-05-18 Sun 11:33:32, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(T=62|D=23), 1600, 2000, 1400383959, 45.518, 1358, 4556442, 713, 47|20|9|18|11|, 20|11|9|18|18|11|9|11|11|9|9|11|9|20|20|47|9|20|18|11|20|18|9|18|9|47|18|18|18|9|18|20|47|47|11|20|18|9|20|11|20|20|11|20|9|9|18|47|9|20|
2014-05-18 Sun 11:34:26, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateRecoverPerturb(Ta=62|To=12|Tc=1|D=23|P=100), 1600, 2000, 1400384012, 22.526, 670, 2277014, 713, 47|18|20|11|9|, 20|11|9|18|18|11|9|11|11|9|9|11|9|20|20|47|9|20|18|11|20|18|9|18|9|47|18|18|18|9|18|20|47|47|11|20|18|9|20|11|20|20|11|20|9|9|18|47|9|20|
2014-05-18 Sun 11:35:19, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocateTabu(Ta=62|To=12|Tc=1|D=23), 1600, 2000, 1400384066, 0.102, 4, 10200, 814, 48|35|11|10|21|, 35|11|10|48|21|11|48|11|11|48|10|11|10|35|35|35|48|35|21|11|35|21|10|21|48|21|48|21|21|48|21|35|35|21|11|35|11|48|35|11|35|10|11|35|10|10|21|21|48|35|
2014-05-18 Sun 11:36:13, ../Instances/pmedcap1(1).txt, [int]ShiftSwapTabuRelocate(T=62|D=23), 1600, 2000, 1400384119, 51.503, 1533, 5139595, 727, 11|9|43|25|18|, 43|11|9|18|18|11|9|11|11|9|9|11|9|43|43|25|9|43|18|11|43|18|9|18|9|25|18|18|18|9|18|43|25|25|11|43|18|9|43|11|43|43|11|43|9|9|18|25|9|43|
